artist_name,priority,reason,primary_genre,region_hint
Adela,5,Pop anchor; clean big-hook pop; brand-forward; mainstream runway,pop,US/Global
KATSEYE,5,Modern pop group; choreography + memeability; Gen-Z momentum pattern,pop,US/Global
Tate McRae,5,Dance-pop edge; performance-first persona; radio+TikTok compatible,pop,CA
Sabrina Carpenter,5,Maximal pop craft + persona; narrative pop; high conversion,pop,US
Chappell Roan,5,Alt-pop theatrical persona; cult-to-mainstream compounding arc,pop,US
Gracie Abrams,5,Intimate pop-songwriter; high-save audience; steady compounding,pop,US
Taylor Swift,5,Songwriting + narrative worldbuilding benchmark,pop,US
Julia Michaels,4,Modern pop writing benchmark; topline craft; hook economy,singer-songwriter,US
JP Saxe,4,Confessional songwriter; lyrical specificity; fan intimacy,singer-songwriter,CA
MUNA,4,Indie-pop with identity; community flywheel; live credibility,indie pop,US
Tame Impala,4,Psychedelic indie-pop; sonic palette benchmark; producer-led aura,indie pop,AU
Del Water Gap,4,Indie-pop with emotional directness; touring-to-streams bridge,indie pop,US
Beeson,3,Indie-pop lane; emerging reference,indie pop,US
Djo,4,Indie/synth-pop crossover; actor-to-music virality pattern,indie pop,US
Audrey Hobert,4,Alt-pop songwriter; early-internet discovery; voice/persona-led,indie pop,US
Joji,4,Melancholic alt-pop; internet-native breakout; mood-first,indie pop,US
Lola Young,4,Soulful alt-pop; voice-forward; UK compounding,indie pop,UK
Mon Rovia,4,Indie-folk warmth; intimacy; organic word-of-mouth,indie folk,US
Steinza,3,Indie-folk lane; emerging reference (verify spelling/ID),indie folk,?
Gregory Alan Isakov,4,Indie-folk songwriting benchmark; long-tail catalog power,indie folk,US
Hunter Metts,3,Indie-folk singer-songwriter; soft brand; organic growth,indie folk,US
Geese,4,Alt-rock/art-rock; scene momentum; critical tastemaker alignment,alt rock,US
Cameron Winter,4,Alt-rock lane; emerging reference,alt rock,US
Dove Ellis,3,Alt/indie lane; emerging reference,alt rock,?
MJ Lenderman,4,Alt-rock/indie; critical-to-fan compounding; guitar-forward,alt rock,US
LCD Soundsystem,4,Alt/indie institution; live-first cult flywheel benchmark,alt rock,US
The Neighbourhood,4,Alt-pop/rock crossover; aesthetic world; sync/playlist strength,alt rock,US
Twenty One Pilots,4,Alt-pop/rock; fanbase intensity + lore; multi-platform longevity,alt rock,US
Wolf Alice,4,Alt-rock; UK tastemaker path; album-era credibility,alt rock,UK
Charli XCX,5,Pop experimentalist; culture acceleration; icon-stage compounding,pop,UK
Sombr,5,Zero-to-one-hundred breakout you tracked; early 2025 compounding,pop/alt,?
Slayyyter,4,Hyperpop/alt-pop; internet-native growth dynamics,pop,US
Olivia Dean,4,UK singer; organic-to-mainstream compounding; voice-forward,singer-songwriter,UK
Harry Styles,4,Pop superstar benchmark; conversion depth; cross-demo,pop,UK
Olivia Rodrigo,5,Modern pop breakout template; rapid compounding from debut single,pop,US
Esdeekid,3,Emerging; rapid growth you observed (verify spelling/IDs),pop/alt,?
Lizzy McAlpine,4,Singer-songwriter breakout via TikTok; high-repeat listening,singer-songwriter,US
Adele,4,Vocal-led pop; adult crossover benchmark (verify if 'Adela' intended),pop,UK
Kacey Musgraves,3,Country-pop benchmark; songwriting+brand clarity,country-pop,US
Maggie Rogers,3,Indie-pop/folk crossover; live credibility; organic climb,indie pop,US
Phoebe Bridgers,3,Indie singer-songwriter; cult flywheel; tastemaker network,singer-songwriter,US
Role Model,3,Alt-pop persona; internet growth dynamics; short-form fit,pop/alt,US
The 1975,3,Alt-pop/rock; aesthetic world; fanbase culture engine,alt rock,UK
